id,url,title,comment_body,html_url,notes,build_fail_reason,number_of_failed_pipelines
390203749,https://api.github.com/repos/NetCZ/vue-pikaday/issues/28,An in-range update of rollup-plugin-babel is breaking the build 🚨,After pinning to **4.0.3** your tests are still failing. The reported issue _might_ not affect your project. These imprecisions are caused by inconsistent test results.,https://github.com/NetCZ/vue-pikaday/issues/28,Build was auto-cancelled because a newer build game in,,
410052359,https://api.github.com/repos/datacurationproject/CatanieDataLoad/issues/31,An in-range update of @types/mocha is breaking the build 🚨,After pinning to **5.2.5** your tests are still failing. The reported issue _might_ not affect your project. These imprecisions are caused by inconsistent test results.,https://github.com/datacurationproject/CatanieDataLoad/issues/31,"Travis build passed, but the image failed to build on DockerCloud (can't see dockercloud logs anymore - 404 not found)",,
367441775,https://api.github.com/repos/patkub/rmc1891-site/issues/115,An in-range update of browser-sync is breaking the build 🚨,After pinning to **2.24.7** your tests are still failing. The reported issue _might_ not affect your project. These imprecisions are caused by inconsistent test results.,https://github.com/patkub/rmc1891-site/issues/115,Looks like build was failing before - will have to revisit,,
296191829,https://api.github.com/repos/gauntface/web-push-book/issues/97,An in-range update of chalk is breaking the build 🚨,After pinning to **2.3.0** your tests are still failing. The reported issue _might_ not affect your project. These imprecisions are caused by inconsistent test results.,https://github.com/gauntface/web-push-book/issues/97,,,
390325270,https://api.github.com/repos/arlac77/bitbucket-repository-provider/issues/364,An in-range update of travis-deploy-once is breaking the build 🚨,After pinning to **5.0.9** your tests are still failing. The reported issue _might_ not affect your project. These imprecisions are caused by inconsistent test results.,https://github.com/arlac77/bitbucket-repository-provider/issues/364,Build not available,Build not available,
188854044,https://api.github.com/repos/chrisguttandin/midi-player/issues/29,An in-range update of worker-timers is breaking the build 🚨,"After pinning to **2.0.2** your tests are still failing. The reported issue _might_ not affect your project. These imprecisions are caused by inconsistent test results.
",https://github.com/chrisguttandin/midi-player/issues/29,Build not available,Build not available,
386491936,https://api.github.com/repos/JimmyBeldone/reapt/issues/10,An in-range update of webpack-pwa-manifest is breaking the build 🚨,After pinning to **3.7.1** your tests are still failing. The reported issue _might_ not affect your project. These imprecisions are caused by inconsistent test results.,https://github.com/JimmyBeldone/reapt/issues/10,"Test failed due to the actual date (i.e. the test expected ""in 2 years"" but got ""in 3 years""",Unrelated test failure,
453021392,https://api.github.com/repos/ChocPanda/ava-env/issues/8,An in-range update of rollup is breaking the build 🚨,After pinning to **1.14.2** your tests are still failing. The reported issue _might_ not affect your project. These imprecisions are caused by inconsistent test results.,https://github.com/ChocPanda/ava-env/issues/8,"Looks like the pipeline started before all the files were committed. The build failed with only the package.json file bumping the dependency version, but then a little later the lock file was bumped with the updated package and the build passed. ",Lockfile error,
361835395,https://api.github.com/repos/arendjr/selectivity/issues/251,An in-range update of prettier is breaking the build 🚨,After pinning to **1.14.2** your tests are still failing. The reported issue _might_ not affect your project. These imprecisions are caused by inconsistent test results.,https://github.com/arendjr/selectivity/issues/251,Failing because of eslint/prettier,Linter error,
413972168,https://api.github.com/repos/magarcia/magarcia.io/issues/17,An in-range update of gatsby is breaking the build 🚨,After pinning to **2.0.29** your tests are still failing. The reported issue _might_ not affect your project. These imprecisions are caused by inconsistent test results.,https://github.com/magarcia/magarcia.io/issues/17,Build no longer available - but there are a lot of comments from GK and this is a bundled gatsby update,Build not available,
557866291,https://api.github.com/repos/hisptz/hris-maintenance-app/issues/414,An in-range update of @angular-devkit/build-angular is breaking the build 🚨,After pinning to **0.803.23** your tests are still failing. The reported issue _might_ not affect your project. These imprecisions are caused by inconsistent test results.,https://github.com/hisptz/hris-maintenance-app/issues/414,Build failed because of unauthenticated package (not the one being updated),,
280715676,https://api.github.com/repos/dolanmiu/Git-Proton/issues/100,An in-range update of core-js is breaking the build 🚨,After pinning to **2.5.1** your tests are still failing. The reported issue _might_ not affect your project. These imprecisions are caused by inconsistent test results.,https://github.com/dolanmiu/Git-Proton/issues/100,Build not available - but a few (3) other pinning attempts after releases happened and none were successful,Build not available,
446519047,https://api.github.com/repos/all-contributors/all-contributors-bot/issues/206,An in-range update of all-contributors-cli is breaking the build 🚨,After pinning to **6.5.0** your tests are still failing. The reported issue _might_ not affect your project. These imprecisions are caused by inconsistent test results.,https://github.com/all-contributors/app/issues/206,Project test was broken - not related to dependency,Unrelated test failure,
450447369,https://api.github.com/repos/Tellios/prescript-webpack-plugin/issues/4,An in-range update of @types/node is breaking the build 🚨,After pinning to **12.0.3** your tests are still failing. The reported issue _might_ not affect your project. These imprecisions are caused by inconsistent test results.,https://github.com/Tellios/prescript-webpack-plugin/issues/4,Build not available,Build not available,
432823433,https://api.github.com/repos/Yoctol/postcss-preset-yoctol/issues/15,An in-range update of eslint-plugin-import is breaking the build 🚨,After pinning to **2.16.0** your tests are still failing. The reported issue _might_ not affect your project. These imprecisions are caused by inconsistent test results.,https://github.com/Yoctol/postcss-preset-yoctol/issues/15,"Incompatible version of node - build ran with node v7, v6, and v4, only v4 failed",Incompatible Node error,
459357419,https://api.github.com/repos/Kronos-Integration/kronos-flow-control-step/issues/763,An in-range update of rollup-plugin-executable is breaking the build 🚨,After pinning to **1.4.6** your tests are still failing. The reported issue _might_ not affect your project. These imprecisions are caused by inconsistent test results.,https://github.com/Kronos-Integration/kronos-flow-control-step/issues/763,Build not available,Build not available,
605311411,https://api.github.com/repos/chrisguttandin/here-maps-type-guards/issues/123,An in-range update of karma-browserstack-launcher is breaking the build 🚨,After pinning to **1.5.1** your tests are still failing. The reported issue _might_ not affect your project. These imprecisions are caused by inconsistent test results.,https://github.com/chrisguttandin/here-maps-type-guards/issues/123,Build not available,Build not available,
459852854,https://api.github.com/repos/phixo/react-reduckx/issues/21,An in-range update of eslint-plugin-react is breaking the build 🚨,After pinning to **7.14.0** your tests are still failing. The reported issue _might_ not affect your project. These imprecisions are caused by inconsistent test results.,https://github.com/phixo/react-reduckx/issues/21,curl: (7) Failed to connect to nodejs.org port 443: Connection timed out,Network error,
279955429,https://api.github.com/repos/sebastianhaas/medical-appointment-scheduling/issues/528,An in-range update of tslib is breaking the build 🚨,After pinning to **1.8.0** your tests are still failing. The reported issue _might_ not affect your project. These imprecisions are caused by inconsistent test results.,https://github.com/sebastianhaas/medical-appointment-scheduling/issues/528,Build not available,Build not available,
427312552,https://api.github.com/repos/yumetodo/object-type-traits/issues/8,An in-range update of eslint is breaking the build 🚨,After pinning to **5.15.3** your tests are still failing. The reported issue _might_ not affect your project. These imprecisions are caused by inconsistent test results.,https://github.com/yumetodo/object-type-traits/issues/8,Invalid lockfile,Lockfile error,
424061682,https://api.github.com/repos/strongloop/loopback4-example-shopping/issues/66,An in-range update of @loopback/authentication is breaking the build 🚨,After pinning to **1.0.16** your tests are still failing. The reported issue _might_ not affect your project. These imprecisions are caused by inconsistent test results.,https://github.com/strongloop/loopback4-example-shopping/issues/66,"Lots of project test failures, could be related to the dependency, but I don't think so. ",Unrelated test failure,
462358989,https://api.github.com/repos/dimanech/atlas-guide/issues/132,An in-range update of marked is breaking the build 🚨,After pinning to **0.6.2** your tests are still failing. The reported issue _might_ not affect your project. These imprecisions are caused by inconsistent test results.,https://github.com/dimanech/atlas-guide/issues/132,Eslint error,Linter error,
413526723,https://api.github.com/repos/thebespokepixel/documentation-theme-bespoke/issues/54,An in-range update of documentation is breaking the build 🚨,After pinning to **9.1.1** your tests are still failing. The reported issue _might_ not affect your project. These imprecisions are caused by inconsistent test results.,https://github.com/thebespokepixel/documentation-theme-bespoke/issues/54,Build not available - but documentation package means the build is almost certainly failing for other reasons,,
583660935,https://api.github.com/repos/chrisguttandin/extendable-media-recorder/issues/539,An in-range update of mocha is breaking the build 🚨,After pinning to **7.1.0** your tests are still failing. The reported issue _might_ not affect your project. These imprecisions are caused by inconsistent test results.,https://github.com/chrisguttandin/extendable-media-recorder/issues/539,"Flaky test - build ran on 6 environments, failed on 2 of them",Unrelated test failure,2/6
368900834,https://api.github.com/repos/Skyscanner/backpack/issues/1103,An in-range update of semver is breaking the build 🚨,After pinning to **5.5.1** your tests are still failing. The reported issue _might_ not affect your project. These imprecisions are caused by inconsistent test results.,https://github.com/Skyscanner/backpack/issues/1103,Build not available,Build not available,
406767277,https://api.github.com/repos/pvdlg/karma-sass-preprocessor/issues/99,An in-range update of ava is breaking the build 🚨,After pinning to **1.2.0** your tests are still failing. The reported issue _might_ not affect your project. These imprecisions are caused by inconsistent test results.,https://github.com/pvdlg/karma-sass-preprocessor/issues/99,Project test failing for other reasons,Unrelated test failure,
543005662,https://api.github.com/repos/JuliusKoronci/typescript-library-starter/issues/9,An in-range update of webpack is breaking the build 🚨,After pinning to **4.41.4** your tests are still failing. The reported issue _might_ not affect your project. These imprecisions are caused by inconsistent test results.,https://github.com/JuliusKoronci/typescript-library-starter/issues/9,Eslint error,Linter error,
